job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,1,28.7683529508133,27.92051265288995,56.68886560370325,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,2,8.4806298368637,23.847507191807267,32.328137028670966,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,3,3.641844655034335,22.646327918674064,26.2881725737084,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,4,2.0696189053282112,21.50275399846824,23.572372903796452,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,5,1.495613890620563,20.4794009458127,21.975014836433264,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,6,1.222388347203428,19.57679862241576,20.79918696961919,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,7,1.043759252957478,18.77486572807699,19.818624981034468,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,8,0.9327692676800717,18.051456771145656,18.984226038825728,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,9,0.8629059665539065,17.39369107606843,18.256597042622335,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,10,0.8230509939562675,16.79349660228087,17.61654759623714,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,11,0.7507156178776653,16.23683956605712,16.987555183934788,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,12,0.7049949766493615,15.717727144872109,16.42272212152147,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,13,0.6732055313634007,15.235051748438144,15.908257279801544,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,14,0.6453559481189974,14.78223426651767,15.427590214636666,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,15,0.6193892561783537,14.356461832959821,14.975851089138175,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,16,0.5988158272588284,13.95357734856643,14.552393175825259,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,17,0.5808101807908098,13.572099851576363,14.152910032367172,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,18,0.5701562773454251,13.21480294463672,13.784959221982145,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,19,0.5466322603178743,12.874922549748046,13.42155481006592,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,20,0.5415015131772499,12.548702649478837,13.090204162656088,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,21,0.5378042803169755,12.239341093329934,12.77714537364691,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,22,0.5292715149093914,11.947511996575228,12.47678351148462,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,23,0.5128967036222019,11.668415011735412,12.181311715357614,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,24,0.5068044097622751,11.400567418243003,11.907371828005278,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,25,0.481397892696866,11.143636658083736,11.625034550780601,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,26,0.47671466679525654,10.897575146921977,11.374289813717233,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,27,0.4755678363185805,10.661675718121641,11.137243554440222,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,28,0.45722020544894787,10.435406225051468,10.892626430500416,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,29,0.45282255730187876,10.22101176700254,10.67383432430442,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,30,0.4603112004002598,10.013399757386193,10.473710957786452,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,31,0.442171604500349,9.811525283836005,10.253696888336354,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,32,0.43637306471750353,9.621064537974792,10.057437602692296,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,33,0.4456546123460353,9.43547592188899,9.881130534235025,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,34,0.4345196524957705,9.257786933831342,9.692306586327113,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,35,0.42896307756917496,9.084112625774436,9.513075703343612,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,36,0.42203378643322037,8.915157902663148,9.337191689096368,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,37,0.41847073934568335,8.754351081575935,9.172821820921618,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,38,0.4146555234959085,8.602289326547638,9.016944850043545,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,39,0.406381750137269,8.449997953542574,8.856379703679844,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,40,0.41778553019147663,8.305985883699627,8.723771413891104,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,41,0.4007826670884674,8.164687887538136,8.565470554626604,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,42,0.39463628063407874,8.028861221366041,8.423497502000119,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,43,0.38967249144319105,7.897647065909829,8.287319557353019,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,44,0.3850861146155369,7.770460449335143,8.15554656395068,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,45,0.3766151436885095,7.644646574075766,8.021261717764276,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,46,0.3817141169425189,7.52573942035202,7.907453537294538,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,47,0.37770457179452943,7.410871657799548,7.788576229594078,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,48,0.3762793205361006,7.299645215976895,7.675924536512996,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,49,0.366856533551847,7.187678899234674,7.554535432786521,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,50,0.35921217959958035,7.079401037237775,7.438613216837355,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,51,0.3764304980908012,6.975505083212703,7.351935581303504,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,52,0.36897850434822743,6.876532215654381,7.245510720002608,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,53,0.3570823704307869,6.77863189319926,7.135714263630047,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,54,0.35991672393462737,6.6839698472126265,7.043886571147254,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,55,0.36309407635735585,6.59097564783622,6.954069724193576,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,56,0.3542599412691406,6.500795550703064,6.855055491972204,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,57,0.3530832752364571,6.41530401723122,6.768387292467677,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,58,0.35521722010917556,6.331434622993619,6.686651843102795,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,59,0.3510181148558012,6.247509741173015,6.5985278560288165,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,60,0.343737887354549,6.1656371724652494,6.509375059819798,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,61,0.3493317401735256,6.08662821716211,6.435959957335635,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,62,0.34806454461401476,6.008199841253401,6.356264385867416,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,63,0.3348829228027494,5.93294967781371,6.267832600616459,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,64,0.3415074318111848,5.8596145757070675,6.2011220075182525,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,65,0.3391990421513091,5.788542747732222,6.127741789883531,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,66,0.3429072046314505,5.720260874140919,6.06316807877237,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,67,0.3361666497725078,5.6559375854223735,5.992104235194882,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,68,0.32868799656432646,5.5904705668762915,5.919158563440618,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,69,0.3338831491865898,5.524396421402458,5.858279570589048,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,70,0.3378413739081988,5.462406419158921,5.800247793067119,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,71,0.3254111977058295,5.401099756477386,5.726510954183215,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,72,0.33132328018380475,5.342174081821141,5.673497362004945,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,73,0.3239295459520939,5.28138801232567,5.605317558277764,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,74,0.3311368986537269,5.224693798526066,5.555830697179793,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,75,0.3152642439536928,5.167388128248725,5.482652372202418,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,76,0.3286039670875253,5.11149277978056,5.440096746868085,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,77,0.3216909462749605,5.055962606795191,5.377653553070152,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,78,0.32525552144441816,5.005109417391575,5.330364938835993,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,79,0.31436493310456703,4.955900056038316,5.270264989142883,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,80,0.31568162695145746,4.904907199224149,5.220588826175606,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,81,0.3192484421528783,4.855305689291691,5.1745541314445695,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,82,0.31772183103108936,4.805967724698735,5.123689555729824,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,83,0.3090432141888535,4.75921488254089,5.0682580967297435,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,84,0.3180256560573655,4.7139372375067765,5.031962893564142,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,85,0.3051466321908752,4.666544470613397,4.9716911028042725,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,86,0.30708306048024475,4.622193192051151,4.929276252531396,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,87,0.3084127966595665,4.580472562491424,4.888885359150991,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,88,0.30771359679554516,4.536455423578503,4.844169020374048,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,89,0.3028128413724814,4.495477443252962,4.798290284625443,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,90,0.3161822378753188,4.454061585148488,4.770243823023807,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,91,0.31146330022382723,4.414517571724306,4.725980871948133,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,92,0.30717312588200124,4.376381168567289,4.683554294449291,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,93,0.3100193070216254,4.338646299609049,4.648665606630675,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,94,0.3023642516464116,4.300509100706559,4.602873352352971,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,95,0.29840910814383215,4.261652510935866,4.560061619079698,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,96,0.29588473895287476,4.224604785559684,4.520489524512559,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,97,0.2935602245167978,4.187440173245791,4.481000397762588,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,98,0.2913879494229809,4.152699904413674,4.444087853836654,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,99,0.29183147798883663,4.117747038602829,4.409578516591665,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,100,0.29890876222708734,4.083081080688267,4.381989842915354,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,101,0.30393467776452493,4.050948174215677,4.354882851980203,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,102,0.29538795719013156,4.018572346549335,4.313960303739466,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,103,0.28342706947410873,3.9867215333726462,4.270148602846755,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,104,0.29426879059521965,3.9530293764326516,4.247298167027871,mean_reciprocal_rank_filtered_with_test,
